,influencer,month,capture_audience,denier_audience,sentiment_audience,male_audience,aggressive_audience,followers_audience,verified_audience,freq_audience,capture_echoer,denier_echoer,sentiment_echoer,male_echoer,aggressive_echoer,followers_echoer,verified_echoer,freq_echoer
75,climatecouncil,2017-10-01,0.0002144676406961007,0.03329523293120801,-0.012462479768413078,0.6904761904761905,0.35383227865137584,4587.578780244276,0.0,108.18249325158435,0.0005932492339715158,0.02159116282196041,0.03459883413885353,0.5481917061661566,0.3666341410107478,499746.17006032896,0.0,39.23676614986523
76,cnni,2017-10-01,0.00012176935098346383,0.052679833194539075,-0.09221634625611533,0.6470588235294118,0.42885247480835714,4539.694588811868,0.0,178.72033926858344,0.00041712651196328007,0.011255967250888172,-0.047271493891051036,0.8355052035793133,0.3568718429572672,8693587.113347782,0.0,64.68569890614111
77,guardianeco,2017-10-01,0.00015772030222620075,0.026118879820068275,0.008757043690385739,0.676923076923077,0.33254929940021427,7177.67015758287,0.0,75.62829116340609,0.00041732800940619307,0.019188981424094916,0.037544381423826594,0.8137750261946359,0.35455870661695477,972505.6823996896,0.0,31.796645165559024
78,kylegriffin1,2017-10-01,8.164534865429742e-05,0.05844579521177477,-0.14982257729899096,0.5338645418326693,0.4736679669426941,11099.287041923633,0.0,205.29066220660673,0.00037451802843911495,0.010495406249518105,-0.14922690817036846,0.8156448972275918,0.5823935649330085,3389503.157794476,0.0,61.101209743858504
79,nowthisnews,2017-10-01,0.00012164321265962747,0.091869918699187,-0.1080096464089889,0.4634146341463415,0.42952961672473866,4128.64487514518,0.0,231.22011841280414,0.0001949836847952895,0.013459625854272125,-0.05103600920028041,0.49100107705104734,0.5070460255797347,2589372.612548575,0.0,86.7867060040378
80,nytimes,2017-10-01,7.608938904696441e-05,0.051273709912937296,-0.10333332867164453,0.6285714285714286,0.4523193876241582,8256.811681354733,0.0,178.45569782641059,0.00025799417848551147,0.011927209318140218,-0.11889471434615784,0.8417987711818147,0.564787608536858,21199807.138904165,0.0,81.85152973761937
81,sciam,2017-10-01,0.00011221800933834073,0.02414068612865188,-0.03730846859383813,0.6241610738255033,0.3488404094934016,5286.460479169659,0.0,122.04950524921712,0.0003627083091206142,0.008812435078074105,0.027881212916174323,0.8572734894372724,0.42116182652501927,3017308.804300372,0.0,36.50703144802595
82,tedlieu,2017-10-01,6.356006387976718e-05,0.06892006802721089,-0.1730954594109332,0.5873015873015873,0.40743396017410793,4519.019578406075,0.0,187.99752075537765,0.0005788168170655173,0.014901004221860213,-0.0679697044800121,0.682724256659065,0.5276012065743241,4443970.293560453,0.0,81.99813296200195
83,thehill,2017-10-01,8.341626059624264e-05,0.06102345975827086,-0.1483966034797616,0.5791139240506329,0.4553175034758765,6068.806233862814,0.0,224.3489319149922,0.0006720337707850093,0.012592134803966872,-0.13906926510659065,0.8412748786553269,0.5805860451145317,4454254.197656969,0.0,151.70618109812492
84,tveitdal,2017-10-01,0.00017834689077957143,0.0473363187806003,0.027363086131149544,0.6198347107438017,0.3304078250708788,4940.545214687861,0.0,120.51648597484478,0.0006527282284051469,0.009934196176601035,0.07362609225924811,0.8207115021158541,0.31077474224434176,1220240.208123886,0.0,34.05222528294164
